Angeleger Strom I,Gemessende Spannung U,spezifischer Wiederstand rho,Gemessende Temperatur [°C],Messdaten
0.15,-0.0308,-0.0047,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,-0.0001,-0.0,29.8,False
0.15,0,0.0,29.8,False
0.15,0,0.0,29.8,False
0.15,0,0.0,29.8,False
0.15,0,0.0,29.8,False
0.15,0,0.0,29.8,False
0.15,0,0.0,29.8,False
0.15,0,0.0,29.8,False
0.15,0,0.0,29.8,False
0.15,0,0.0,29.7,False
0.15,0,0.0,29.7,False
0.15,0,0.0,29.7,False
0.15,0,0.0,29.7,False
0.15,0,0.0,29.7,False
0.15,0,0.0,29.7,False
0.15,0,0.0,29.7,False
0.15,0,0.0,29.7,False
0.15,0,0.0,29.7,False
0.15,0.2309,0.0349,29.6,False
0.15,0,0.0,28.8,False
0.15,0.2047,0.0309,29.6,False
0.15,0,0.0,29.6,False
0.15,0,0.0,29.6,False
0.15,0.2081,0.0314,29.6,False
0.15,0,0.0,29.6,False
0.15,0,0.0,29.6,False
0.15,0,0.0,29.1,False
0.15,0,0.0,29.6,False
0.15,0,0.0,29.6,False
0.15,0,0.0,29.6,False
0.15,0,0.0,29.5,False
0.15,0.2581,0.039,29.2,False
0.15,0.2855,0.0431,29.6,False
0.15,0.2835,0.0428,29.6,False
0.15,0.2918,0.0441,29.6,False
0.15,0.2931,0.0443,29.6,False
0.15,0.2673,0.0404,29.6,False
0.15,0.2658,0.0402,29.6,False
0.15,0.2679,0.0405,29.6,False
0.15,0.3081,0.0465,29.6,False
0.15,0.2757,0.0416,29.6,False
0.15,0.2748,0.0415,29.6,False
0.15,0.2742,0.0414,29.6,False
0.15,0.2748,0.0415,29.6,False
0.15,0.2738,0.0414,29.6,False
0.15,0.2739,0.0414,29.6,False
0.15,0.2738,0.0414,29.6,False
0.15,0.2739,0.0414,29.6,False
0.15,0.2739,0.0414,29.6,False
