Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.310819,0.0085,158.8,False
1.0,0.312047,0.0085,158.7,False
1.0,0.31199,0.0085,158.6,False
1.0,0.312035,0.0085,158.6,False
1.0,0.310358,0.0084,158.5,False
1.0,0.308462,0.0084,158.4,False
1.0,0.311828,0.0085,158.3,False
1.0,0.31286,0.0085,158.2,False
1.0,0.31301,0.0085,158.0,False
1.0,0.313101,0.0085,157.9,False
1.0,0.31266,0.0085,157.8,False
1.0,0.31142,0.0085,157.7,False
1.0,0.309123,0.0084,157.6,False
1.0,0.30852,0.0084,157.5,False
1.0,0.308648,0.0084,157.4,False
1.0,0.312182,0.0085,157.3,False
1.0,0.314929,0.0086,157.1,False
1.0,0.315088,0.0086,157.0,False
1.0,0.313178,0.0085,156.9,False
1.0,0.313725,0.0085,156.8,False
1.0,0.316345,0.0086,156.7,False
1.0,0.314681,0.0086,156.6,False
1.0,0.314148,0.0085,156.4,False
1.0,0.313064,0.0085,156.3,False
1.0,0.314396,0.0085,156.2,False
1.0,0.315575,0.0086,156.1,False
1.0,0.317873,0.0086,156.0,False
1.0,0.31637,0.0086,155.9,False
1.0,0.319002,0.0087,155.8,False
1.0,0.322926,0.0088,155.7,True
1.0,0.32059,0.0087,155.5,True
1.0,0.319781,0.0087,155.4,True
1.0,0.317717,0.0086,155.3,True
1.0,0.318887,0.0087,155.2,True
1.0,0.316685,0.0086,155.1,True
1.0,0.31829,0.0087,155.0,True
1.0,0.319913,0.0087,154.9,True
1.0,0.3222,0.0088,154.8,True
1.0,0.321578,0.0087,154.7,True
1.0,0.317822,0.0086,154.7,True
1.0,0.315541,0.0086,154.6,True
1.0,0.317068,0.0086,154.5,True
1.0,0.316459,0.0086,154.4,True
1.0,0.315206,0.0086,154.3,True
0.5,0.197047,0.0107,154.3,True
0.5,0.199206,0.0108,154.2,True
0.5,0.199454,0.0108,154.1,True
0.5,0.1998,0.0109,154.1,True
0.5,0.201723,0.011,154.0,True
0.5,0.201943,0.011,153.9,True
0.5,0.199854,0.0109,153.9,True
0.5,0.199135,0.0108,153.8,True
0.5,0.201796,0.011,153.8,True
0.5,0.203195,0.0111,153.7,True
0.5,0.204433,0.0111,153.7,True
0.5,0.206864,0.0113,153.7,True
0.5,0.207625,0.0113,153.7,True
0.5,0.206647,0.0112,153.7,True
0.5,0.208046,0.0113,153.7,True
0.25,0.147472,0.016,153.6,True
0.25,0.145228,0.0158,153.6,True
0.25,0.143459,0.0156,153.6,True
0.25,0.144905,0.0158,153.6,True
0.25,0.146814,0.016,153.6,True
0.25,0.14877,0.0162,153.6,True
0.25,0.148957,0.0162,153.6,True
0.25,0.150711,0.0164,153.7,True
0.25,0.151147,0.0164,153.7,True
0.25,0.152235,0.0166,153.8,True
0.25,0.156397,0.017,153.8,True
0.25,0.157119,0.0171,153.9,True
0.25,0.15739,0.0171,153.9,True
0.25,0.156431,0.017,154.0,True
0.25,0.157573,0.0171,154.1,True
