Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.40184,0.0109,94.1,False
1.0,0.401986,0.0109,94.1,False
1.0,0.402659,0.0109,94.1,False
1.0,0.402145,0.0109,94.1,False
1.0,0.40232,0.0109,94.1,False
1.0,0.401181,0.0109,94.0,False
1.0,0.400812,0.0109,94.0,False
1.0,0.400962,0.0109,94.0,False
1.0,0.399948,0.0109,94.0,False
1.0,0.398772,0.0108,94.0,False
1.0,0.398708,0.0108,94.0,False
1.0,0.399147,0.0109,94.0,False
1.0,0.400208,0.0109,94.0,False
1.0,0.399444,0.0109,94.0,False
1.0,0.398769,0.0108,94.0,True
1.0,0.396107,0.0108,94.0,True
1.0,0.395671,0.0108,94.0,True
1.0,0.395867,0.0108,94.0,True
1.0,0.396087,0.0108,94.0,True
1.0,0.394103,0.0107,94.0,True
1.0,0.394148,0.0107,94.0,True
1.0,0.394191,0.0107,94.0,True
1.0,0.393377,0.0107,93.9,True
1.0,0.392772,0.0107,93.9,True
1.0,0.392916,0.0107,93.9,True
1.0,0.393024,0.0107,93.9,True
1.0,0.39401,0.0107,93.9,True
1.0,0.393888,0.0107,93.9,True
1.0,0.394823,0.0107,93.9,True
1.0,0.395894,0.0108,93.8,True
1.0,0.396032,0.0108,93.8,True
1.0,0.394676,0.0107,93.8,True
1.0,0.393251,0.0107,93.8,True
1.0,0.391701,0.0107,93.8,True
1.0,0.391964,0.0107,93.7,True
1.0,0.390658,0.0106,93.7,True
1.0,0.390376,0.0106,93.7,True
1.0,0.390487,0.0106,93.7,True
1.0,0.391369,0.0106,93.7,True
1.0,0.392269,0.0107,93.6,True
1.0,0.395059,0.0107,93.6,True
1.0,0.395362,0.0108,93.6,True
1.0,0.396832,0.0108,93.6,True
1.0,0.398798,0.0108,93.6,True
0.5,0.224774,0.0122,93.6,True
0.5,0.224543,0.0122,93.6,True
0.5,0.22395,0.0122,93.5,True
0.5,0.222515,0.0121,93.5,True
0.5,0.222555,0.0121,93.5,True
0.5,0.224025,0.0122,93.5,True
0.5,0.222457,0.0121,93.5,True
0.5,0.222779,0.0121,93.5,True
0.5,0.223211,0.0121,93.5,True
0.5,0.223921,0.0122,93.5,True
0.5,0.225695,0.0123,93.5,True
0.5,0.223857,0.0122,93.5,True
0.5,0.224219,0.0122,93.5,True
0.5,0.224264,0.0122,93.5,True
0.5,0.223961,0.0122,93.5,True
0.5,0.224978,0.0122,93.5,True
0.5,0.22539,0.0123,93.5,True
0.5,0.226996,0.0123,93.5,True
0.5,0.227101,0.0124,93.5,True
0.5,0.224963,0.0122,93.5,True
0.5,0.22478,0.0122,93.5,True
0.5,0.223501,0.0122,93.5,True
0.5,0.222856,0.0121,93.5,True
0.5,0.223244,0.0121,93.5,True
0.5,0.222504,0.0121,93.6,True
0.5,0.223627,0.0122,93.6,True
0.5,0.224248,0.0122,93.6,True
0.5,0.224345,0.0122,93.6,True
0.5,0.224773,0.0122,93.6,True
0.5,0.225525,0.0123,93.7,True
0.25,0.140019,0.0152,93.7,True
0.25,0.139349,0.0152,93.7,True
0.25,0.139957,0.0152,93.8,True
0.25,0.140143,0.0152,93.8,True
0.25,0.141803,0.0154,93.8,True
0.25,0.14264,0.0155,93.9,True
0.25,0.142754,0.0155,93.9,True
0.25,0.143904,0.0157,94.0,True
0.25,0.142281,0.0155,94.0,True
0.25,0.142482,0.0155,94.1,True
0.25,0.143412,0.0156,94.1,True
0.25,0.143335,0.0156,94.2,True
0.25,0.144537,0.0157,94.3,True
0.25,0.14588,0.0159,94.3,True
0.25,0.146271,0.0159,94.3,True
0.25,0.146143,0.0159,94.4,True
0.25,0.14641,0.0159,94.5,True
0.25,0.146224,0.0159,94.5,True
0.25,0.143547,0.0156,94.6,True
0.25,0.141349,0.0154,94.7,True
0.25,0.143579,0.0156,94.7,True
0.25,0.14599,0.0159,94.8,True
0.25,0.146443,0.0159,94.8,True
0.25,0.145839,0.0159,94.9,True
0.25,0.146536,0.0159,95.0,True
0.25,0.146888,0.016,95.0,True
0.25,0.146762,0.016,95.1,True
0.25,0.145701,0.0158,95.2,True
0.25,0.145977,0.0159,95.2,True
0.25,0.14502,0.0158,95.3,True
