Angeleger Strom I,Gemessende Spannung U [mV],spezifischer Wiederstand rho,Gemessende Temperatur [degC],Messdaten
1.0,0.267306,0.0073,240.8,False
1.0,0.267634,0.0073,240.8,False
1.0,0.269854,0.0073,240.8,False
1.0,0.271048,0.0074,240.7,False
1.0,0.272671,0.0074,240.7,False
1.0,0.272717,0.0074,240.6,False
1.0,0.272171,0.0074,240.6,False
1.0,0.273838,0.0074,240.6,False
1.0,0.273724,0.0074,240.5,False
1.0,0.269291,0.0073,240.4,False
1.0,0.266453,0.0072,240.4,False
1.0,0.264494,0.0072,240.3,False
1.0,0.263463,0.0072,240.2,False
1.0,0.264736,0.0072,240.2,False
1.0,0.267309,0.0073,240.1,True
1.0,0.268916,0.0073,240.0,True
1.0,0.272523,0.0074,239.9,True
1.0,0.275984,0.0075,239.8,True
1.0,0.278244,0.0076,239.7,True
1.0,0.274682,0.0075,239.6,True
1.0,0.277197,0.0075,239.5,True
1.0,0.280314,0.0076,239.4,True
1.0,0.281931,0.0077,239.3,True
1.0,0.279912,0.0076,239.2,True
1.0,0.278676,0.0076,239.1,True
1.0,0.274678,0.0075,239.0,True
1.0,0.273626,0.0074,238.9,True
1.0,0.273845,0.0074,238.8,True
1.0,0.272587,0.0074,238.7,True
1.0,0.275304,0.0075,238.6,True
1.0,0.274086,0.0075,238.5,True
1.0,0.269819,0.0073,238.4,True
1.0,0.27116,0.0074,238.3,True
1.0,0.274549,0.0075,238.2,True
1.0,0.273078,0.0074,238.1,True
1.0,0.272899,0.0074,238.0,True
1.0,0.274651,0.0075,237.9,True
1.0,0.273573,0.0074,237.8,True
1.0,0.274792,0.0075,237.7,True
1.0,0.270799,0.0074,237.6,True
1.0,0.270053,0.0073,237.6,True
1.0,0.271134,0.0074,237.5,True
1.0,0.272925,0.0074,237.4,True
1.0,0.272418,0.0074,237.3,True
0.8,0.223898,0.0076,237.3,True
0.8,0.224993,0.0076,237.2,True
0.8,0.225115,0.0077,237.1,True
0.8,0.225111,0.0077,237.1,True
0.8,0.224765,0.0076,237.0,True
0.8,0.227098,0.0077,237.0,True
0.8,0.22809,0.0078,237.0,True
0.8,0.22745,0.0077,236.9,True
0.8,0.228333,0.0078,236.9,True
0.8,0.231275,0.0079,236.9,True
0.8,0.225449,0.0077,236.9,True
0.8,0.224384,0.0076,236.9,True
0.8,0.226782,0.0077,236.9,True
0.8,0.229868,0.0078,236.9,True
0.8,0.232151,0.0079,236.9,True
0.8,0.234054,0.008,236.9,True
0.8,0.234866,0.008,236.9,True
0.8,0.237092,0.0081,236.9,True
0.8,0.237945,0.0081,237.0,True
0.8,0.237189,0.0081,237.0,True
0.8,0.237493,0.0081,237.1,True
0.8,0.237131,0.0081,237.2,True
0.8,0.238498,0.0081,237.2,True
0.8,0.23626,0.008,237.3,True
0.8,0.231517,0.0079,237.4,True
0.8,0.230473,0.0078,237.5,True
0.8,0.229034,0.0078,237.6,True
0.8,0.233586,0.0079,237.7,True
0.8,0.234192,0.008,237.8,True
0.8,0.233271,0.0079,237.9,True
0.6,0.189184,0.0086,238.0,True
0.6,0.187346,0.0085,238.2,True
0.6,0.187702,0.0085,238.3,True
0.6,0.186224,0.0084,238.4,True
0.6,0.179583,0.0081,238.6,True
0.6,0.17775,0.0081,238.7,True
0.6,0.178209,0.0081,238.9,True
0.6,0.176115,0.008,239.0,True
0.6,0.177787,0.0081,239.2,True
0.6,0.178994,0.0081,239.3,True
0.6,0.179806,0.0081,239.5,True
0.6,0.176535,0.008,239.6,True
0.6,0.178358,0.0081,239.8,True
0.6,0.179176,0.0081,240.0,True
0.6,0.1769,0.008,240.1,True
0.6,0.177779,0.0081,240.3,True
0.6,0.178942,0.0081,240.4,True
0.6,0.179197,0.0081,240.6,True
0.6,0.183519,0.0083,240.7,True
0.6,0.182102,0.0083,240.9,True
0.6,0.182427,0.0083,241.0,True
0.6,0.182794,0.0083,241.1,True
0.6,0.182302,0.0083,241.3,True
0.6,0.183109,0.0083,241.4,True
0.6,0.182015,0.0082,241.6,True
0.6,0.184068,0.0083,241.7,True
0.6,0.185799,0.0084,241.8,True
0.6,0.186481,0.0085,241.9,True
0.6,0.188247,0.0085,242.0,True
0.6,0.188843,0.0086,242.1,True
