Angeleger Strom I,Gemessende Spannung U,spezifischer Wiederstand rho,Gemessende Temperatur [°C],Messdaten
0.1,0.059,0.0134,69.2,False
0.1,0.0671,0.0152,69.2,False
0.1,0.0671,0.0152,69.1,False
0.1,0.067,0.0152,69.1,False
0.1,0.0671,0.0152,69.1,False
0.1,0.0674,0.0153,69.0,False
0.1,0.0676,0.0153,69.0,False
0.1,0.0678,0.0154,69.0,False
0.1,0.0679,0.0154,69.0,False
0.1,0.0678,0.0154,68.9,False
0.1,0.068,0.0154,68.9,False
0.1,0.0679,0.0154,68.8,False
0.1,0.0679,0.0154,68.8,False
0.1,0.0679,0.0154,68.8,False
0.1,0.0681,0.0154,68.7,True
0.1,0.0664,0.015,68.7,True
0.1,0.0663,0.015,68.7,True
0.1,0.0663,0.015,68.6,True
0.1,0.0664,0.015,68.6,True
0.1,0.0665,0.0151,68.6,True
0.1,0.0664,0.015,68.5,True
0.1,0.0664,0.015,68.5,True
0.1,0.0662,0.015,68.5,True
0.1,0.066,0.015,68.5,True
0.1,0.066,0.015,68.5,True
0.1,0.0664,0.015,68.4,True
0.1,0.0663,0.015,68.4,True
0.1,0.0663,0.015,68.4,True
0.1,0.0659,0.0149,68.4,True
0.5,0.0692,0.0031,68.3,True
0.5,0.3272,0.0148,68.3,True
0.5,0.3277,0.0149,68.3,True
0.5,0.3285,0.0149,68.3,True
0.5,0.3285,0.0149,68.3,True
0.5,0.3281,0.0149,68.3,True
0.5,0.3277,0.0149,68.2,True
0.5,0.3273,0.0148,68.2,True
0.5,0.3275,0.0148,68.2,True
0.5,0.3264,0.0148,68.2,True
0.5,0.3258,0.0148,68.2,True
0.5,0.3246,0.0147,68.2,True
0.5,0.3234,0.0147,68.2,True
0.5,0.3225,0.0146,68.2,True
0.5,0.322,0.0146,68.2,True
0.9,0.5746,0.0145,68.2,True
0.9,0.5738,0.0144,68.2,True
0.9,0.5727,0.0144,68.2,True
0.9,0.5729,0.0144,68.2,True
0.9,0.5727,0.0144,68.2,True
0.9,0.5721,0.0144,68.2,True
0.9,0.5726,0.0144,68.2,True
0.9,0.5719,0.0144,68.2,True
0.9,0.5728,0.0144,68.3,True
0.9,0.573,0.0144,68.3,True
0.9,0.5747,0.0145,68.3,True
0.9,0.5743,0.0145,68.3,True
0.9,0.5738,0.0144,68.3,True
0.9,0.5733,0.0144,68.3,True
0.9,0.5723,0.0144,68.3,True
0.1,0.059,0.0134,68.4,True
0.1,0.0648,0.0147,68.4,True
0.1,0.0649,0.0147,68.4,True
0.1,0.0648,0.0147,68.4,True
0.1,0.0649,0.0147,68.5,True
0.1,0.065,0.0147,68.5,True
0.1,0.0651,0.0148,68.5,True
0.1,0.0652,0.0148,68.5,True
0.1,0.0651,0.0148,68.6,True
0.1,0.0648,0.0147,68.6,True
0.1,0.0649,0.0147,68.6,True
0.1,0.0662,0.015,68.6,True
0.1,0.0663,0.015,68.7,True
0.1,0.0662,0.015,68.7,True
0.1,0.0659,0.0149,68.7,True
0.5,0.0587,0.0027,68.8,True
0.5,0.3273,0.0148,68.8,True
0.5,0.3263,0.0148,68.8,True
0.5,0.3267,0.0148,68.8,True
0.5,0.325,0.0147,68.9,True
0.5,0.3224,0.0146,68.9,True
0.5,0.3257,0.0148,68.9,True
0.5,0.3224,0.0146,68.9,True
0.5,0.3215,0.0146,69.0,True
0.5,0.3222,0.0146,69.0,True
0.5,0.3222,0.0146,69.1,True
0.5,0.3308,0.015,69.1,True
0.5,0.3246,0.0147,69.1,True
0.5,0.3251,0.0147,69.1,True
0.5,0.3254,0.0147,69.2,True
0.9,0.5827,0.0147,69.2,True
0.9,0.5813,0.0146,69.2,True
0.9,0.5818,0.0146,69.3,True
0.9,0.5818,0.0146,69.3,True
0.9,0.5819,0.0147,69.4,True
0.9,0.5825,0.0147,69.4,True
0.9,0.5815,0.0146,69.4,True
0.9,0.5798,0.0146,69.4,True
0.9,0.5781,0.0146,69.5,True
0.9,0.5789,0.0146,69.5,True
0.9,0.5773,0.0145,69.6,True
0.9,0.5765,0.0145,69.6,True
0.9,0.5761,0.0145,69.6,True
0.9,0.5759,0.0145,69.6,True
0.9,0.5752,0.0145,69.7,True
